Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,34,881031684,6.831809997558594,0.05622503083993471,0.7729287968848201,0.19244066832724172,0.9715963692465734,0.8142629501481639,0.7933263213812495,0.2542084666501348,0.034491749841650085,0.5046261048894647,19.0,5.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,35,1459414639,5.875335693359375,0.0788296113002898,0.590651180008995,0.10926423174460798,0.9552984888542059,0.8908160771622271,0.6346756425252953,0.16573598289543132,0.015634598240540733,0.4533050613893234,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,36,1717144779,5.545688152313232,0.06951197002099964,0.6744535669132246,0.1497477784145922,0.9660710943149085,0.8508915035845658,0.5966021720629284,0.16790682503974272,0.018682544587065242,0.4100128024361204,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,37,234383320,5.707740068435669,0.06364982151975206,0.8537758343043294,0.21670865478309306,0.9745125675292993,0.7853633351345615,0.6363865927596273,0.22006640801464794,0.028713678092912042,0.38760650665206725,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,38,809921203,5.810919284820557,0.05616015628203686,0.6447916308083194,0.1576987679086815,0.9696443238435489,0.8448741304126725,0.5963481566871834,0.15992468171812066,0.019083354776101714,0.417340120192961,14.0,10.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,39,633889183,5.7504723072052,0.06582102191025574,0.6036151847641842,0.08738803517953322,0.9646880488170914,0.9120969268274708,0.634321860756363,0.1668625137962334,0.012358779867262516,0.45510056709286717,15.0,9.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,40,526735776,5.67266583442688,0.068837904467249,0.7767292010608462,0.21810934583616132,0.9688153283200691,0.7866071899748914,0.5558144492074572,0.17812530431451618,0.023996631698371237,0.3536925131945696,13.0,11.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,41,1580902692,5.842702150344849,0.07605849425512486,0.6414622661154797,0.1430513137607727,0.965952785385896,0.8555338470791343,0.674936871834142,0.18305153883992784,0.02024606996974748,0.47163926302446657,16.0,8.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,42,1782693368,5.330871105194092,0.06323659758799964,0.7558935789923845,0.1203923503090878,0.9388924665032401,0.8800022790425356,0.5149608421045734,0.1665935210934744,0.013310115224135206,0.33505720578696385,12.0,12.0
"p=(None, None), q=(None, None), c=0.500, f=1.00)",,,,,0.5,1.0,43,363244612,6.1355202198028564,0.06046925474377765,0.6222114952504785,0.1117846094053853,0.9700315585365409,0.892703909365556,0.7147092331195377,0.19528431297176335,0.01714001919059045,0.5022849009571838,17.0,7.0
