Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,66,1977169912,3.5951881408691406,0.07182305062202167,0.35656987880945573,0.0,0.0,0.35656987880945573,8.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,67,816827959,3.5625295639038086,0.057514792448171585,0.39637795096563705,0.0,0.0,0.39637795096563705,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,68,1937066756,3.7358129024505615,0.07884433356352522,0.47503343640513124,0.0,0.0,0.47503343640513124,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,69,1231138120,3.5469045639038086,0.06973208053699001,0.4368046188276906,0.0,0.0,0.4368046188276906,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,70,135194935,3.829563617706299,0.05052355403216604,0.515052660673915,0.0,0.0,0.515052660673915,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,71,213231019,3.671907901763916,0.07338268393995451,0.4748088235993385,0.0,0.0,0.4748088235993385,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,72,1803038838,3.6889376640319824,0.0719905899263651,0.5553261776353173,0.0,0.0,0.5553261776353173,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,73,374020484,4.04717755317688,0.06104306421637846,0.7536209722261963,0.0,0.0,0.7536209722261963,18.0,6.0
Status quo (no rapid test),0.0,1.0,0.0,74,1243074298,3.798313856124878,0.06071702749288363,0.5553078815762968,0.0,0.0,0.5553078815762968,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,75,1805121991,3.6875314712524414,0.07232348234870249,0.5142538325157016,0.0,0.0,0.5142538325157016,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,76,1067209504,3.9233152866363525,0.07510041080581452,0.4758991612374461,0.0,0.0,0.4758991612374461,11.0,13.0
Status quo (no rapid test),0.0,1.0,0.0,77,1856696675,3.8135006427764893,0.07347315709948869,0.396151559829486,0.0,0.0,0.396151559829486,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,78,826341888,3.9233155250549316,0.05292060088500016,0.39484209707424417,0.0,0.0,0.39484209707424417,9.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,79,167529421,3.9554569721221924,0.04952060246625205,0.5939312629978682,0.0,0.0,0.5939312629978682,14.0,10.0
Status quo (no rapid test),0.0,1.0,0.0,80,806989554,3.9233148097991943,0.059901315086614774,0.5566731485754702,0.0,0.0,0.5566731485754702,13.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,81,24805106,3.873591899871826,0.05216338348262294,0.5158669121603562,0.0,0.0,0.5158669121603562,12.0,12.0
Status quo (no rapid test),0.0,1.0,0.0,82,1574482610,3.7514383792877197,0.05450206827367889,0.43494765730595275,0.0,0.0,0.43494765730595275,10.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,83,613936327,3.6899497509002686,0.07849805152842654,0.556559859353801,0.0,0.0,0.556559859353801,13.0,11.0
