Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,30,258864802,7.015698671340942,0.0682418961499131,0.9990765684216162,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,31,1650233440,6.642026424407959,0.06050512669138515,0.7154897806484118,17.0,7.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,32,1950053854,5.921936988830566,0.07186688228300464,0.5964261528757531,14.0,10.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,33,231562851,6.673275947570801,0.06113588006041008,0.9999957248893068,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,34,511233635,7.218826055526733,0.06035271730425006,0.8749207716308924,21.0,3.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,35,699550030,6.954529762268066,0.05515784876939727,0.8350069583201732,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,36,864944866,7.812582969665527,0.0656544497344532,0.9945145085018691,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,37,2087744588,6.298272371292114,0.07371784104868788,0.5952216761052717,14.0,10.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,38,668178838,6.625069856643677,0.08402848849433245,0.7550710103134922,18.0,6.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,39,1978367492,7.845162868499756,0.06163879304155296,0.9973142576881655,24.0,0.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,40,9155489,7.578204870223999,0.07287598145251466,0.8323335398365376,20.0,4.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,41,1104341091,6.37639856338501,0.060216669095923624,0.5553712507469463,13.0,11.0
"(p=1.000, q=0.950, c=0.500)",1.0,0.95,0.5,42,591449774,6.968823432922363,0.05632225905076603,0.7151804069733662,17.0,7.0
