Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,56,374020484,5.0008931159973145,0.0753003384832743,0.8811022803034987,0.0,0.0,0.8811022803034987,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,57,47653226,4.892054557800293,0.16280359310830145,0.7588394212954144,0.0,0.0,0.7588394212954144,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,58,1243074298,5.094644069671631,0.16785341872136134,0.6671548232011475,0.0,0.0,0.6671548232011475,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,59,1805121991,5.079552412033081,0.23510572327660287,0.6017217305982675,0.0,0.0,0.6017217305982675,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,60,1331169252,5.094644069671631,0.10764745820997451,0.7297064380721289,0.0,0.0,0.7297064380721289,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,61,167529421,5.142053127288818,0.11151817270579802,0.7027563569836113,0.0,0.0,0.7027563569836113,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,62,806989554,4.938392877578735,0.21901951249821608,0.616434433346752,0.0,0.0,0.616434433346752,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,63,24805106,4.938928604125977,0.20332664808033238,0.6066274213652487,0.0,0.0,0.6066274213652487,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,64,1574482610,4.937527894973755,0.2382861386023221,0.5366165405788023,0.0,0.0,0.5366165405788023,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,65,613936327,4.890653371810913,0.2291785687971047,0.6444170908541184,0.0,0.0,0.6444170908541184,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,66,1943874087,4.734401702880859,0.2073120163765965,0.5629184524856087,0.0,0.0,0.5629184524856087,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,67,514748902,4.906278133392334,0.16490524674895637,0.6902116872766858,0.0,0.0,0.6902116872766858,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,68,970557677,4.62502646446228,0.28481383649070174,0.5803076996068326,0.0,0.0,0.5803076996068326,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,69,2045757009,4.921903133392334,0.06853161311233857,0.9363219195307029,0.0,0.0,0.9363219195307029,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,70,2079841931,4.734401702880859,0.16123855638242224,0.7098314650504328,0.0,0.0,0.7098314650504328,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,71,1892879705,4.984402894973755,0.1790927448881224,0.6753236118810038,0.0,0.0,0.6753236118810038,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,72,2041820033,4.5000245571136475,0.06440671182374913,0.9265259595879344,0.0,0.0,0.9265259595879344,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,73,1477953748,4.890652894973755,0.15051144070267344,0.6728013819013559,0.0,0.0,0.6728013819013559,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,74,910506640,4.546899080276489,0.12501199011007016,0.761326798161279,0.0,0.0,0.761326798161279,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,75,1844369952,4.9844043254852295,0.0744541896500341,0.8827013493664038,0.0,0.0,0.8827013493664038,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,76,341705672,5.015653371810913,0.24698903962632604,0.5341265010380135,0.0,0.0,0.5341265010380135,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,77,1750328427,4.9687793254852295,0.2037552296921876,0.6569858033487662,0.0,0.0,0.6569858033487662,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,78,1241646603,4.656273603439331,0.16937456173551696,0.7239340434788143,0.0,0.0,0.7239340434788143,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,79,354554919,4.859403371810913,0.17060484017850264,0.6914617269630948,0.0,0.0,0.6914617269630948,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,80,2056698391,4.718773603439331,0.19957902388995719,0.6415906757770968,0.0,0.0,0.6415906757770968,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,81,490196200,5.093781471252441,0.21010529641802828,0.5994391710511217,0.0,0.0,0.5994391710511217,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,82,1298548678,4.703150749206543,0.10980505811841573,0.8501499369294578,0.0,0.0,0.8501499369294578,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,83,784324956,5.203156232833862,0.23511723653187705,0.569697735155174,0.0,0.0,0.569697735155174,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,84,733904680,4.890652894973755,0.17720481288780954,0.6583036474820932,0.0,0.0,0.6583036474820932,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,85,1826974045,4.890653133392334,0.17544172068705816,0.66566037789479,0.0,0.0,0.66566037789479,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,86,1873295335,5.437528371810913,0.250199979052754,0.5929570875152741,0.0,0.0,0.5929570875152741,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,87,1318058019,5.5937840938568115,0.22868647997958277,0.5005817123775161,0.0,0.0,0.5005817123775161,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,88,1826990642,4.640649318695068,0.17286371574287457,0.6615189154546539,0.0,0.0,0.6615189154546539,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,89,1807427148,4.906278133392334,0.1831090341323203,0.7252368379187111,0.0,0.0,0.7252368379187111,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,90,1091247438,4.5156471729278564,0.0715155200567482,0.9101728719222599,0.0,0.0,0.9101728719222599,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,91,905953532,5.0625293254852295,0.14285917728696157,0.7173515279848128,0.0,0.0,0.7173515279848128,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,92,489692981,4.671898365020752,0.230677786093127,0.5861230073155571,0.0,0.0,0.5861230073155571,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,93,1403110060,5.187530517578125,0.23860325236725752,0.5519185963507008,0.0,0.0,0.5519185963507008,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,94,1719200974,4.906278133392334,0.18157945765503883,0.6334418520417875,0.0,0.0,0.6334418520417875,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,95,59365084,5.0312864780426025,0.14789240669527698,0.6574684559381925,0.0,0.0,0.6574684559381925,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,96,808970187,5.062526702880859,0.1946427762075937,0.6435801871188108,0.0,0.0,0.6435801871188108,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,97,930523974,5.031285047531128,0.24542879910246512,0.49872366332896995,0.0,0.0,0.49872366332896995,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,98,137155799,5.000028133392334,0.1901707587775672,0.6035588688486524,0.0,0.0,0.6035588688486524,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,99,253728702,4.906277418136597,0.21225109440655357,0.6311887454590652,0.0,0.0,0.6311887454590652,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,100,1267631924,5.078152418136597,0.2176072651233475,0.5539726939172268,0.0,0.0,0.5539726939172268,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,101,2026478608,5.1094043254852295,0.12969962417740397,0.7206699994725999,0.0,0.0,0.7206699994725999,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,102,488627338,4.937527179718018,0.22949421993301317,0.6000371574872442,0.0,0.0,0.6000371574872442,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,103,1385079931,5.125029802322388,0.22790228718370006,0.5170466843497785,0.0,0.0,0.5170466843497785,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,104,443023852,4.921902418136597,0.20881918080782522,0.6275915570900993,0.0,0.0,0.6275915570900993,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,105,832802126,5.156280040740967,0.2217889207697911,0.6168573134580639,0.0,0.0,0.6168573134580639,29.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,106,1177559954,5.046902656555176,0.26903212264251164,0.5399877286645812,0.0,0.0,0.5399877286645812,29.0,0.0
