Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,43,822550227,3.9774858951568604,0.07678751297572223,0.6881495658258142,0.12200881406562303,0.7949065281865119,0.767416081431653,0.823164991165367,0.0,0.0,0.823164991165367,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,44,1762950628,3.869272232055664,0.1464251937302437,0.7128206404790105,0.1714161398416046,0.758449047657789,0.6555502856594418,0.7841638455999526,0.0,0.0,0.7841638455999526,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,45,829848767,3.8174962997436523,0.19714661675298864,0.6895879725084147,0.13879768729141298,0.5910861991494258,0.583423176767385,0.6211800942210656,0.0,0.0,0.6211800942210656,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,46,1206534333,3.7863025665283203,0.07066891952070783,0.7135724910021753,0.10200523556544812,0.8104047398762462,0.7465402207331918,0.8376849531002705,0.0,0.0,0.8376849531002705,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,47,391541795,3.9644227027893066,0.25255149911183433,0.7312341498025187,0.2687109557050827,0.5214571134484111,0.501447886403574,0.5559086921892046,0.0,0.0,0.5559086921892046,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,48,195200511,4.117804765701294,0.1321480161364052,0.6944231979843941,0.13571994145620175,0.7283131162969455,0.7177046201531883,0.7649722178018472,0.0,0.0,0.7649722178018472,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,49,745022002,3.917097330093384,0.17095610621828483,0.6804720045624102,0.16015427700004828,0.6235315234896164,0.7054121348871787,0.6536513390796421,0.0,0.0,0.6536513390796421,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,50,1445192076,3.94754695892334,0.30511308077573396,0.6461161644655691,0.13295721652196557,0.510877129343779,0.660223098941589,0.5419310374584311,0.0,0.0,0.5419310374584311,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,51,1560426063,3.8725438117980957,0.1533080951992977,0.6954325694832864,0.11507412912878913,0.7239006045978974,0.6429020725406357,0.7533536489722603,0.0,0.0,0.7533536489722603,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,52,443904401,4.06075382232666,0.23339812111477,0.760567424558325,0.1525627278072792,0.5811891663674926,0.6095236497992003,0.6166686024206989,0.0,0.0,0.6166686024206989,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,53,479805406,4.094394207000732,0.18267518230307722,0.686128129265457,0.1500291181390149,0.6546248798471547,0.6066620231487995,0.6828415086375741,0.0,0.0,0.6828415086375741,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,54,1949339909,3.924549102783203,0.08266421918421209,0.7415280393412914,0.19564445579739378,0.7537642179675926,0.6765915119123501,0.7867099569388707,0.0,0.0,0.7867099569388707,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,55,1881968880,3.932404041290283,0.14178206500461366,0.8132889870540491,0.14599325607008573,0.6346900984051278,0.6646895177620437,0.6719450565662135,0.0,0.0,0.6719450565662135,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,56,2013124419,3.821458339691162,0.11567901520561368,0.6832804747268935,0.2133773691117794,0.7836795255713308,0.7188090871845119,0.8121218131295364,0.0,0.0,0.8121218131295364,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,57,525868732,3.9833593368530273,0.10534274465363234,0.7711468342424399,0.15167680184051266,0.8065048374944532,0.7293124467386032,0.8328536713660487,0.0,0.0,0.8328536713660487,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,58,2102773806,3.84257435798645,0.1486454415317182,0.7256650774465999,0.12408991701522755,0.7151352817694661,0.7129452695890612,0.744635766030314,0.0,0.0,0.744635766030314,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,59,66118438,3.9927656650543213,0.14263753069020335,0.7564015796247703,0.10923560131900778,0.7164771660595153,0.7152579228391613,0.7467464365551367,0.0,0.0,0.7467464365551367,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,60,1111406759,3.7514262199401855,0.14989786185580747,0.6729451740079685,0.13302651329037385,0.7120344975362193,0.6312406672579538,0.7460889095926746,0.0,0.0,0.7460889095926746,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,61,1568317111,3.9972457885742188,0.16912298869118503,0.6053908858700039,0.13491974698160508,0.6713608791904211,0.7262694235401951,0.7019393884231971,0.0,0.0,0.7019393884231971,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,62,1386965005,3.783470630645752,0.12428232435716896,0.8409572094103629,0.1613646987508747,0.6880592293441207,0.612041981046198,0.7168748165774733,0.0,0.0,0.7168748165774733,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,63,1805557375,3.9662680625915527,0.17603069640839863,0.8152769406411795,0.1722916725708611,0.6652856521584617,0.6201587445247161,0.700266596195301,0.0,0.0,0.700266596195301,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,64,560840150,3.860999345779419,0.11202464892529658,0.6860509840172793,0.19663201880544937,0.751607595198859,0.6860161906624791,0.7783889468924643,0.0,0.0,0.7783889468924643,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,65,916380275,3.9026308059692383,0.0888825063140297,0.7770661469228489,0.17528521326872976,0.7980743501577189,0.7277543887639168,0.8277303558280417,0.0,0.0,0.8277303558280417,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,66,1260736516,4.006953954696655,0.09528365886396742,0.7807545845892098,0.13403709962802965,0.7591805669517342,0.7060076600489663,0.7958290810922783,0.0,0.0,0.7958290810922783,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,67,1727995112,3.944973945617676,0.11084826918680132,0.6866621462093384,0.15000144355607092,0.7632085182507735,0.7352512883102016,0.8006949157110291,0.0,0.0,0.8006949157110291,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,68,82744573,3.9997127056121826,0.10543189378271473,0.707027664857216,0.15363469645412198,0.8123611735077085,0.7259028386912111,0.8443193771382647,0.0,0.0,0.8443193771382647,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,69,1195804508,3.9520325660705566,0.11534642506230666,0.7459006373035674,0.1810802660341367,0.7943408572082437,0.7085631281748745,0.826281185236814,0.0,0.0,0.826281185236814,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,70,1426952711,4.078612327575684,0.19810353634955688,0.5771310539914903,0.1592739881207201,0.5788908257026181,0.6998887685287722,0.6079541103522559,0.0,0.0,0.6079541103522559,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,71,1359219260,3.9351067543029785,0.09120062175548516,0.7696543155358941,0.16906946385511,0.7813912537489661,0.7437251397375907,0.8077532029931358,0.0,0.0,0.8077532029931358,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,72,680813673,3.8532443046569824,0.09966242080259366,0.6464772746576475,0.17220923744111524,0.7533960086265508,0.7498293257385193,0.7835675071653475,0.0,0.0,0.7835675071653475,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,73,726126643,3.9291083812713623,0.13639483316453832,0.7846653140534479,0.12952723726099102,0.7547996234392673,0.6701146981881605,0.7810811888031156,0.0,0.0,0.7810811888031156,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,74,631998362,3.88423490524292,0.23868917535096046,0.8659008701093864,0.1480784718160721,0.5687784984966653,0.503632418170894,0.5976634205258601,0.0,0.0,0.5976634205258601,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,75,1306200992,3.789083480834961,0.11603221511370775,0.6837974874056088,0.1751016547106123,0.7214603843557323,0.6769028619224393,0.7535212385957518,0.0,0.0,0.7535212385957518,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,76,1934272762,3.6253156661987305,0.16498305809169694,0.5493955720067656,0.1839133118060483,0.6501316237835401,0.7152882813404472,0.6862447731380356,0.0,0.0,0.6862447731380356,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,77,1139304855,3.832954168319702,0.18934463769906162,0.6761231894864703,0.16701536598790548,0.6117791604054464,0.6239837413379029,0.639866843476873,0.0,0.0,0.639866843476873,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,78,293014278,3.945215940475464,0.10115681463816141,0.8228830920447712,0.17820837202916107,0.7625860966565408,0.6549021964898448,0.7893232631813872,0.0,0.0,0.7893232631813872,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,79,1731592534,3.954265594482422,0.1811725109600735,0.7177840422940684,0.17800840915583077,0.5943688174166533,0.6254287963963174,0.6314662959804792,0.0,0.0,0.6314662959804792,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,80,1377426521,3.8182554244995117,0.15780712766315244,0.8318483204235269,0.30197801783311795,0.6533533984019745,0.5936563440288064,0.680679842493852,0.0,0.0,0.680679842493852,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,81,133355962,3.810257911682129,0.12246283200904058,0.7938741247157911,0.17459672108792582,0.782655697527641,0.73783668480503,0.8137300946669199,0.0,0.0,0.8137300946669199,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,82,1430853872,3.8052597045898438,0.09189959393516416,0.7805966892782724,0.1516060180716344,0.7954739590093338,0.720527531956054,0.821707603885382,0.0,0.0,0.821707603885382,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,83,659406767,3.9482672214508057,0.08767771909031931,0.7460088895599593,0.1718079925142305,0.8525759294306918,0.7713403706498692,0.8804419159213053,0.0,0.0,0.8804419159213053,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,84,1559380275,3.5723319053649902,0.27491796761409604,0.8503296355827821,0.1217367713101411,0.5644517429909615,0.5288828862170846,0.5938485783617016,0.0,0.0,0.5938485783617016,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,85,201255546,3.9392170906066895,0.09252528381658759,0.777297432587048,0.1295323746009381,0.823687152382909,0.7629641115272305,0.8549493891659175,0.0,0.0,0.8549493891659175,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,86,498351581,3.7322816848754883,0.10126132823904004,0.8136685381655235,0.14403821832951805,0.7385001291919789,0.6554220320109865,0.7659497876337632,0.0,0.0,0.7659497876337632,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,87,1029523876,3.8812882900238037,0.13588033235257777,0.7529390174843755,0.2053814414324967,0.6919169717127758,0.6283763544562752,0.7240074072983272,0.0,0.0,0.7240074072983272,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,88,1856718431,3.8952314853668213,0.12450070296775233,0.7704329692105578,0.15611118572467092,0.714370960754122,0.6537128245254888,0.744143160333021,0.0,0.0,0.744143160333021,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,89,720082184,3.892291307449341,0.13874215301117862,0.7804763651553042,0.23329877198268995,0.7306361835198583,0.5634150580854971,0.756844376366777,0.0,0.0,0.756844376366777,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,90,925242917,3.8052592277526855,0.15182976429205242,0.7673027469838709,0.20778288273702217,0.653556724222635,0.5929599494817066,0.6891995378963229,0.0,0.0,0.6891995378963229,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,91,1819113397,4.079434633255005,0.10959105674627123,0.6483616509302864,0.11382336968380308,0.753122465604045,0.7861346080681996,0.788167343754043,0.0,0.0,0.788167343754043,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,92,308232787,3.9122259616851807,0.15930559841128022,0.6412404439155043,0.17229582188608514,0.6595959976248728,0.6496700462235622,0.6868494638969636,0.0,0.0,0.6868494638969636,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,93,1789003052,3.8838717937469482,0.11289655869015235,0.7836335323631135,0.1098792213018152,0.7789396701394855,0.7059963566830825,0.8083677389978611,0.0,0.0,0.8083677389978611,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,94,768887439,3.674300193786621,0.1265746947076789,0.6424537130430207,0.1564016527830404,0.7623890834603396,0.7932385826421112,0.7883533890160382,0.0,0.0,0.7883533890160382,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,95,952469479,3.831360340118408,0.2103474104941386,0.8161117936774344,0.23321139267035101,0.6120734422037998,0.5282102076682995,0.6382823350963561,0.0,0.0,0.6382823350963561,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,96,1025495697,3.951080799102783,0.09253112554404684,0.7095988707056171,0.12047393726247271,0.8092606972179597,0.7580309453888623,0.8360164683477106,0.0,0.0,0.8360164683477106,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,97,1750347194,3.7353062629699707,0.2201953583014904,0.8064802027591115,0.13700271819644516,0.629663107734716,0.5314733911757367,0.6581385588688726,0.0,0.0,0.6581385588688726,24.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,98,246647841,3.9610326290130615,0.09864099481737354,0.6787301913293148,0.12702414259340447,0.7313179296277217,0.7343984298918298,0.759783570518293,0.0,0.0,0.759783570518293,24.0,0.0
