ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
36,1717144779,4.052020788192749,0.06792350487282496,0.7174356589548748,0.16313062585025373,0.9375715555260176,0.8026516807654338,0.5541639604515788,0.0,0.0,0.5541639604515788,13.0,11.0
37,234383320,3.9320228099823,0.06339609773311111,0.874166789487103,0.23378423587994235,0.9495616769941396,0.739633933203655,0.43482868057058033,0.0,0.0,0.43482868057058033,10.0,14.0
38,809921203,3.951022148132324,0.054358509979641714,0.6706383625762422,0.1718326513282478,0.9618300831253308,0.8228545402915567,0.5556113544645115,0.0,0.0,0.5556113544645115,13.0,11.0
39,633889183,4.004025459289551,0.06208912195847518,0.6544941153712621,0.09943529499622031,0.9678672046825896,0.8900176921413379,0.5555447193812941,0.0,0.0,0.5555447193812941,13.0,11.0
40,526735776,4.0700225830078125,0.06618847377490535,0.8090038062022294,0.237180771365575,0.9668854150431214,0.756135869208778,0.47579327298234736,0.0,0.0,0.47579327298234736,11.0,13.0
41,1580902692,3.8490242958068848,0.07246519576712153,0.6830863740944495,0.15279533311365326,0.960694531296153,0.8151630534536719,0.51645140507711,0.0,0.0,0.51645140507711,12.0,12.0
42,1782693368,3.9380221366882324,0.06093684042256697,0.8001513847652225,0.13075212902644992,0.9492649763695772,0.848112713328723,0.43631683056342824,0.0,0.0,0.43631683056342824,10.0,14.0
43,363244612,4.107023477554321,0.05720130031673386,0.6727623821458454,0.12722038359467852,0.9596931308887342,0.8540926663847296,0.5946242777200653,0.0,0.0,0.5946242777200653,14.0,10.0
44,945660547,4.350023984909058,0.05903890489768417,0.7354199114951071,0.1647890748616521,0.9519648179577086,0.8206214262615272,0.5150979604318858,0.0,0.0,0.5150979604318858,12.0,12.0
45,547955011,4.128024101257324,0.075655832155935,0.7978377112574548,0.1894259324318843,0.9557978625606363,0.7903263945394948,0.43563774433008357,0.0,0.0,0.43563774433008357,10.0,14.0
46,1042863499,3.950023651123047,0.060966395892027875,0.6566386268500785,0.1718740477265389,0.9604459566280953,0.7998953077298099,0.595900040222704,0.0,0.0,0.595900040222704,14.0,10.0
47,894659845,3.97402286529541,0.05101639007430075,0.76274397693699,0.15565182155552468,0.9456939782648887,0.8063389444247211,0.5938219308303558,0.0,0.0,0.5938219308303558,14.0,10.0
48,985027930,4.224024295806885,0.07752087446343517,0.855048023844556,0.21895808496784117,0.9367001952132563,0.7648608181047496,0.43493866001945064,0.0,0.0,0.43493866001945064,10.0,14.0
49,776696670,4.0600244998931885,0.0712224663629448,0.8652428564713371,0.14626290906922582,0.9651911912778388,0.8238331262205054,0.5961487018753364,0.0,0.0,0.5961487018753364,14.0,10.0
50,934013921,3.9810237884521484,0.08220492845412383,0.8497027160154335,0.17006532880086894,0.9593878377837742,0.8086681203275046,0.39728720317709587,0.0,0.0,0.39728720317709587,9.0,15.0
51,357017747,4.15302586555481,0.06497220071542455,0.7296138793257658,0.11230954278378143,0.9566049072959345,0.8625102432735788,0.5149487623355539,0.0,0.0,0.5149487623355539,12.0,12.0
52,1523601588,4.417024374008179,0.06331640647116688,0.7344408086508427,0.1193553041718142,0.9621334234005162,0.8694412851983987,0.5944319393499166,0.0,0.0,0.5944319393499166,14.0,10.0
53,393891727,4.11802339553833,0.0681360021827342,0.45978548122617907,0.15773222279585566,0.9597078455993449,0.8324250450866043,0.43653877634907895,0.0,0.0,0.43653877634907895,10.0,14.0
54,1248230087,4.282024383544922,0.07479403522216334,0.7212820024923252,0.2295386864063875,0.9546124324249733,0.7455914766409479,0.4756677604059352,0.0,0.0,0.4756677604059352,11.0,13.0
55,2005900680,4.1630237102508545,0.054016991010250176,0.7809850922758949,0.1132502636105417,0.9614584699977891,0.8588374852051882,0.5163158086789877,0.0,0.0,0.5163158086789877,12.0,12.0
56,2008544415,4.359024524688721,0.054746287544296314,0.7971189009070503,0.2234802804860497,0.9601829633880381,0.7624104642575941,0.5542645662083333,0.0,0.0,0.5542645662083333,13.0,11.0
57,1536469360,4.109023332595825,0.07375776843692844,0.6686926402130091,0.10266410053292606,0.9536030844798766,0.8635686696638656,0.35639447704615373,0.0,0.0,0.35639447704615373,8.0,16.0
58,558686474,4.137024402618408,0.061276028960579695,0.6281531583204484,0.17327977609381506,0.9590002594978061,0.8043651450923964,0.554423486098025,0.0,0.0,0.554423486098025,13.0,11.0
59,272957422,3.996023416519165,0.07783686731465717,0.7689784423531983,0.1376020927590978,0.9579140838303536,0.8482370255897322,0.5963046884306142,0.0,0.0,0.5963046884306142,14.0,10.0
60,204916245,3.908021926879883,0.06589572315046374,0.8205886879469881,0.1689240888336796,0.9520850675788531,0.8045687710378325,0.356683648840919,0.0,0.0,0.356683648840919,8.0,16.0
61,701325674,4.076023817062378,0.07598541078874295,0.6854049606171351,0.1816899464421323,0.9617483852306887,0.7987198252250617,0.5950107545327237,0.0,0.0,0.5950107545327237,14.0,10.0
62,1052334331,3.92602276802063,0.08239975717982118,0.7357564565490639,0.1748304296767388,0.9598723645301542,0.8035259499445253,0.4760172518510693,0.0,0.0,0.4760172518510693,11.0,13.0
63,1683230901,3.880023241043091,0.056204813569384234,0.7968209449952013,0.16569076215073403,0.9458651923197327,0.8008615133793421,0.3560437771627253,0.0,0.0,0.3560437771627253,8.0,16.0
64,1867642198,4.062023878097534,0.06044812812203284,0.8737138243608783,0.20909825940532048,0.9703119215533897,0.7721921843968085,0.5572035842117161,0.0,0.0,0.5572035842117161,13.0,11.0
65,2043831889,4.230024576187134,0.05349584606070281,0.830995030187752,0.18784775993160185,0.961096601162512,0.7985849405108985,0.476206943076511,0.0,0.0,0.476206943076511,11.0,13.0
66,1926041859,4.237024545669556,0.07778167745845439,0.6388758541142847,0.17266520727576073,0.9667900460755547,0.8210985352968615,0.4763362331939247,0.0,0.0,0.4763362331939247,11.0,13.0
67,1532785696,4.246022701263428,0.07462639059372526,0.6929411269896818,0.12349119349858721,0.971318224594405,0.864609395545831,0.47597002088640705,0.0,0.0,0.47597002088640705,11.0,13.0
68,1775769804,4.084022760391235,0.07942539699828713,0.6827467125254411,0.3136628169678634,0.953622479195447,0.6813790773552529,0.476409427107503,0.0,0.0,0.476409427107503,11.0,13.0
69,602480255,3.9580237865448,0.055610668994724645,0.7166268095591589,0.15027760084879935,0.9435849877719029,0.8148166366020768,0.3959270166070904,0.0,0.0,0.3959270166070904,9.0,15.0
70,2004750337,4.0040223598480225,0.0643750840827459,0.7865271254804533,0.16966203471083857,0.931253938796143,0.8098119719385346,0.4341073267704345,0.0,0.0,0.4341073267704345,10.0,14.0
71,1419801162,3.9420220851898193,0.07478784798342591,0.8129081648632632,0.1836349857062657,0.9509895245620886,0.7929271209010393,0.47537589984493495,0.0,0.0,0.47537589984493495,11.0,13.0
72,159306689,3.9290223121643066,0.05898268686738974,0.7360809398969879,0.18042493039536545,0.9520429917304861,0.8049150503681853,0.43614593108159094,0.0,0.0,0.43614593108159094,10.0,14.0
73,943239329,4.16402530670166,0.0764898628042968,0.5688835643078806,0.1901396444097689,0.9466910927170429,0.7900481928958647,0.3957428047680485,0.0,0.0,0.3957428047680485,9.0,15.0
74,520480270,4.236023426055908,0.056555987150357395,0.8220061320807339,0.1417175599080008,0.9600882239001806,0.8408970111419571,0.5558242635503605,0.0,0.0,0.5558242635503605,13.0,11.0
75,780435767,4.05202579498291,0.06408023137556454,0.7884245648675288,0.2011350331280279,0.9447736606441566,0.7811431545378895,0.39527402240128245,0.0,0.0,0.39527402240128245,9.0,15.0
76,1641310461,4.1140217781066895,0.06627152271070552,0.814923951263409,0.14756606082183626,0.9662546433497063,0.8354147600690922,0.5162955045821109,0.0,0.0,0.5162955045821109,12.0,12.0
77,944092109,4.011023998260498,0.05735178360110437,0.7830758338913535,0.16422013383405584,0.9373509909641207,0.7954757815588911,0.5535186926652971,0.0,0.0,0.5535186926652971,13.0,11.0
78,445641572,3.9520232677459717,0.07725552334611845,0.851962353525788,0.19173619664046837,0.9508460617372044,0.7730942871988931,0.43688296379667385,0.0,0.0,0.43688296379667385,10.0,14.0
79,599896403,3.9920222759246826,0.08029965329130455,0.7017806864353886,0.17027785623620903,0.9551819912877291,0.8159547397019726,0.395449113581356,0.0,0.0,0.395449113581356,9.0,15.0
80,748889815,4.050023555755615,0.0634240295159776,0.6109599516292096,0.13739768981295555,0.9469843236074464,0.8364664048778891,0.5929779588657436,0.0,0.0,0.5929779588657436,14.0,10.0
