Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,0,201255546,4.940079927444458,0.1422993082445048,0.5515017770404794,0.08555641014560686,0.7239291419464028,0.7544224215094928,0.38188925868745704,0.02257661745152878,0.3499565453705072,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,1,720098724,4.971330881118774,0.17870964623213087,0.429182484216881,0.10447442834258543,0.6928823574427195,0.7127449548642729,0.27655939157666437,0.032158896239795946,0.4040266670478123,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,2,144866415,5.502587795257568,0.0950824189511031,0.4618174751205097,0.08720184469207015,0.9640225969446011,0.9724202596704746,0.293451430033623,0.03036895025510479,0.6485998793817467,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,3,1680835334,4.721327543258667,0.21191716923782503,0.4741579846411959,0.09524739524344274,0.6691337434240409,0.701025230798311,0.3124248176322651,0.0323531538838079,0.3562472592822382,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,4,1802331721,4.799453496932983,0.2552815783550062,0.47705097323056234,0.0892427272066972,0.616107471520357,0.6398114570090717,0.31634048812001947,0.029848245661523536,0.2936227232275287,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,5,351049798,4.893204927444458,0.20020201648032154,0.4787335956336787,0.1014728678731759,0.660772116639605,0.6836133493861264,0.31001354525722397,0.03517835670308608,0.3384214474258166,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,6,1192485129,5.236959218978882,0.09173728474206046,0.7170463034806189,0.14023391115652126,0.829355332848872,0.852604032925399,0.4938603559879689,0.02395494888305025,0.33478872805437976,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,7,825563396,5.721341371536255,0.3225327363239762,0.2760002329576102,0.0630895996637863,0.49847039383160335,0.5193481754380831,0.17848701150194585,0.018047657943868905,0.32281350599226827,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,8,1857153899,5.83072304725647,0.18599268607268246,0.41869904977785866,0.07793617127459493,0.6059961543102104,0.6283655129465878,0.2792414901891819,0.027724622033463833,0.3213994007239422,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,9,323249829,4.705702543258667,0.11042000149928077,0.5751255975252675,0.10276461969792022,0.8120182474478702,0.8370614445998239,0.38027042542499245,0.03138292495721773,0.42540809421761344,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,10,1765374533,5.158833026885986,0.24888928996235918,0.3118728001654764,0.07144955372964201,0.5228515658480898,0.5513829554923593,0.2040333421010349,0.02209919851911078,0.3252504148722137,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,11,382228820,5.455714225769043,0.21722561358117407,0.323997519659259,0.08028341475578826,0.5526404511099312,0.5773929261688522,0.20824515890129694,0.02540431894614932,0.3437434483214059,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,12,55720852,4.8150787353515625,0.2578490206565908,0.36581162348815294,0.07752559918115254,0.5643055712442635,0.5870511912066855,0.24161894254133628,0.018118917127483723,0.3273133315378654,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,13,1895837387,4.408823728561401,0.30996696016877495,0.34023059523799265,0.05144441127207073,0.5540214727575902,0.5793472467576227,0.22964844101896822,0.017382256023657276,0.3323165497149972,34.0,0.0
"(p=None, None), q=(None, None), c=0.750)",,,,,0.75,14,161642000,5.3932130336761475,0.25776785309930583,0.45496533688047125,0.06795676306833148,0.5215237026827204,0.545936503196994,0.31294917299130837,0.022009371554325106,0.2109779586513606,34.0,0.0
