Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,40,2071076345,4.837759494781494,0.06560674869597227,0.553426782265825,0.11949317828863386,0.945753888913873,0.8710261612337638,0.39739530346908486,0.0,0.0,0.39739530346908486,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,41,1228410786,4.815390348434448,0.08303415583225265,0.5984406579712027,0.20079161896118308,0.9314611932422165,0.7833903984667218,0.3105451376579904,0.0,0.0,0.3105451376579904,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,42,1274968857,4.6668126583099365,0.05635083133516587,0.8654618184066044,0.1522860681041827,0.9551582417951461,0.8110476740690646,0.3691966410330147,0.0,0.0,0.3691966410330147,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,43,822550227,4.706374406814575,0.04994709402763591,0.6921418856608688,0.12504530705953085,0.9601113851703662,0.8570447572436682,0.39703650773078475,0.0,0.0,0.39703650773078475,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,44,1762950628,4.804769515991211,0.08230877546066656,0.6443641779213025,0.167378439140159,0.9580550057632288,0.8090740345277667,0.42639189967275754,0.0,0.0,0.42639189967275754,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,45,829848767,4.796396255493164,0.05844817597988778,0.611774934656283,0.14268674768249173,0.9257903694604993,0.8098939324310023,0.31071635942983933,0.0,0.0,0.31071635942983933,10.0,24.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,46,1206534333,4.695804119110107,0.04926472754065967,0.6825908037287333,0.10575314604312017,0.9490314276684961,0.8540824360243745,0.4246362591596453,0.0,0.0,0.4246362591596453,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,47,391541795,4.625399589538574,0.08129241425632784,0.6467178137870779,0.2371372293665522,0.9450162632149128,0.7367468650484378,0.2543868291416261,0.0,0.0,0.2543868291416261,8.0,26.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,48,195200511,4.766782522201538,0.08354755775607203,0.6845979734515956,0.12120768216420301,0.9441084726958053,0.8527194682239579,0.36717031970717207,0.0,0.0,0.36717031970717207,12.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,49,745022002,4.943977355957031,0.0793244802970919,0.8511228972514877,0.2443611765983665,0.9320103282074617,0.7368576426573816,0.3397045508788617,0.0,0.0,0.3397045508788617,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,50,1445192076,4.663813352584839,0.09669789714504831,0.7833590854855321,0.19666032772032765,0.9429987240131495,0.7830274595963632,0.2549050813347684,0.0,0.0,0.2549050813347684,8.0,26.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,51,1560426063,4.8963658809661865,0.07304872434072637,0.6081020016425431,0.12827392216275083,0.9257176314954577,0.8086304718253335,0.4247225942480357,0.0,0.0,0.4247225942480357,14.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,52,443904401,4.8827455043792725,0.09331719972303182,0.8391300909239785,0.1785175700286673,0.9478222291177998,0.7973927127638588,0.2834676983363549,0.0,0.0,0.2834676983363549,9.0,25.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,53,479805406,4.820422649383545,0.07094153694641459,0.57504358461882,0.15074138297183368,0.9514198564894842,0.8172640803372504,0.33994307690734216,0.0,0.0,0.33994307690734216,11.0,23.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,54,1949339909,4.829761743545532,0.04712259429234737,0.7539412290606411,0.18843826162426586,0.9389380913336871,0.7862115056364932,0.395808933755597,0.0,0.0,0.395808933755597,13.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,1.0,0.0,55,1881968880,4.896682262420654,0.0682558351036145,0.9198155176730048,0.14788825231934682,0.9431537819126627,0.8225601841730404,0.3111739015868741,0.0,0.0,0.3111739015868741,10.0,24.0
