Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,195,1876408434,5.025538206100464,0.06343634750424766,0.7889374394568796,0.1716817122611673,0.9621635006291807,0.8305348837245518,0.595838415204513,0.29283710276965746,0.03188621830085599,0.2711150941339996,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,196,1926091274,6.070795774459839,0.06266808177483486,0.7110124097678647,0.12158231979608031,0.9665837976274984,0.8857969455187734,0.6732874191619627,0.3181816194800021,0.02639958587378566,0.3287062138081751,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,197,1144462372,5.425334453582764,0.06707079141051704,0.640398341509214,0.1328893485902639,0.9568779305433237,0.8752225431884763,0.5959024867222373,0.2533321470197497,0.02701310562598168,0.31555723407650604,14.0,10.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,198,829284626,4.787810325622559,0.062410069584907094,0.36880025159974766,0.1232938943400557,0.9652960877643326,0.8783893596112623,0.5565008424335138,0.14376797488405876,0.02186679152708424,0.39086607602237067,13.0,11.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,199,942366159,5.565353155136108,0.07808653785417813,0.7447067715624884,0.1556335593693202,0.974662794376635,0.8444380865102303,0.7544992013452841,0.35282765796724896,0.03792288591243923,0.3637486574655959,18.0,6.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,200,163646082,6.330115795135498,0.0660891131063472,0.683570404381977,0.15582771951147317,0.9733423856832801,0.8467706038825312,0.675303492255721,0.2928823921378378,0.03317251462422543,0.34924858549365795,16.0,8.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,201,748682703,5.550011157989502,0.06670591895049194,0.5106836385439496,0.11475755198308933,0.9537325775203427,0.8877331414189226,0.6354237493419093,0.22094818886086062,0.024225165066120716,0.3902503954149281,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,202,1209201350,4.902606010437012,0.06763664714196362,0.6777158579841182,0.23299579968710216,0.9640321001630698,0.7703798910201038,0.47613628888921866,0.18946311538328398,0.03022494531527252,0.2564482281906621,11.0,13.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,203,1367794277,5.013368844985962,0.06203718590463106,0.6120802299907243,0.11993530820941402,0.9614384109842475,0.8829251503764103,0.6336708292808275,0.2603618859445106,0.024773213464551316,0.34853572987176556,15.0,9.0
"p=(None, None), q=(None, None), c=0.750, f=1.00)",,,,,0.75,1.0,204,1486424545,5.859886407852173,0.07303666925119952,0.681138559094342,0.15724322755212758,0.966936612329304,0.8449937674863374,0.6747862932280125,0.2972058440279372,0.03343816595424353,0.3441422832458317,16.0,8.0
