Scenarios,sensitivity,specificity,rapid test coverage,if M is available for 1st-Tx,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),"Proportion of cases treated with CIP, TET, or CRO (average incidence after epidemic warm-up)",Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,False,113,1749776251,4.547040224075317,0.134169581886549,0.7415089433308812,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,114,1634028225,4.142093181610107,0.07599362963229038,0.9999888119718598,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,115,1140742065,4.718922138214111,0.11360060387538663,0.7838599240477807,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,116,417094529,4.985875844955444,0.13472561547953357,0.6918076794627704,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,117,1115232335,4.8282999992370605,0.18068268786801264,0.6083406737866257,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,118,1001261389,4.798368453979492,0.1859805865597018,0.5806010765051743,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,119,1758895446,4.843925952911377,0.13156874582856853,0.712970665393537,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,120,1617760748,4.704614639282227,0.10865396904236621,0.7132593800382631,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,121,1725820739,4.812680959701538,0.09193229140512586,0.8265073104244458,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,122,1428570217,4.9546239376068115,0.13651083990003116,0.6479584874970901,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,123,301475756,4.5782904624938965,0.1440438473786968,0.7785375273318044,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,124,1712003172,4.954623460769653,0.11521734857454884,0.6749130912531887,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,125,1994447705,4.5939178466796875,0.11767198930380074,0.7484961311701467,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,126,164615254,4.626488208770752,0.1277231319132046,0.7340710327259694,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,127,661806576,4.7345476150512695,0.06677209079968417,0.871874545621796,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,128,1377395208,4.172027111053467,0.19475528869333053,0.6270736300399381,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,129,923950682,2.640719175338745,0.19854959520069546,0.7269931567753909,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,130,1973567832,4.343905448913574,0.07277570510696993,0.9835263030927763,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,131,380362596,2.62656307220459,0.17305098350523,0.7383850064156592,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,132,988042106,4.234528064727783,0.06276187836587396,0.9040635610954614,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,133,192590343,2.626560688018799,0.23487554926675688,0.520564112307167,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,134,2138619487,3.7657577991485596,0.23216574447831773,0.6859356285418643,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,135,1424391723,2.8609437942504883,0.15479656518017063,0.69200891126207,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,136,21778069,3.672006368637085,0.11631576432537727,0.7918316016871304,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,137,798270643,2.5015556812286377,0.1321007966708923,0.7271355949237853,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,138,338059408,3.8907644748687744,0.15154420163093726,0.6317857946840425,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,139,1950813269,2.735938549041748,0.06860341761452354,0.8148484939222274,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,140,714200579,3.406371593475342,0.13830401441852896,0.6822212256704644,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,141,1968256504,2.7203140258789062,0.18059443981229217,0.6675598737518008,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,142,81677567,3.5626285076141357,0.1875069709247659,0.7140545447932648,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,143,1834583498,2.7984509468078613,0.10364746297188011,0.8092447868186567,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,144,1814871889,3.171989679336548,0.12712657133999655,0.7403506100886892,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,145,758053069,2.392176866531372,0.061424709077895795,0.998584270489968,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,146,764083572,3.0469839572906494,0.1331715590723038,0.6541774492558241,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,147,899513845,3.110952377319336,0.05863741890532542,0.9997229053452019,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,148,1888226273,3.343867778778076,0.12523432879343016,0.761976997056205,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,149,1364924219,2.9859464168548584,0.05709428536471389,0.9971293306568642,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,150,999958768,3.359495162963867,0.14816206501715795,0.6975353345796326,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,151,375297735,2.6421852111816406,0.1348928297302099,0.6674857151898187,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,152,1977647886,3.2657411098480225,0.14715587264708224,0.6896754333512267,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,153,1104180317,2.6578125953674316,0.20121053426119367,0.5543404754216091,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,154,1133700066,3.000105142593384,0.11112264873981244,0.7314356562944895,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,155,34340634,2.4546875953674316,0.057879989485986834,0.9918369854868894,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,156,2001973528,3.265740156173706,0.08194091620938157,0.8155789521269204,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,157,1801174569,2.8921947479248047,0.17407584039460533,0.6895728093327319,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,158,2134389408,3.156363010406494,0.10795374968844634,0.8276801275178174,20.0,0.0
Status quo (no rapid test),0.0,1.0,0.0,False,159,1463869800,2.7203145027160645,0.12718141775135164,0.7285867723878012,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,0,273773726,6.57836127281189,0.08052268597624053,0.9999895785291312,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,1,1984980876,7.064074993133545,0.09804146504685478,0.9995217294472496,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,2,1995750289,7.344012260437012,0.10148708916777041,0.9956752517109673,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,3,745834900,7.329710483551025,0.11490361194228058,0.9680865314034661,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,4,769024199,7.797153949737549,0.11106062805989371,0.9594390404245814,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,5,1938101334,6.735939264297485,0.09291653949338241,0.9999862260152448,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,6,496787752,7.0315024852752686,0.10053924898359222,0.9998120516168869,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,7,1663525139,7.376587152481079,0.09461703483177229,0.9904657191357709,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,8,2050502706,6.797118425369263,0.08580057384217242,0.9958482907800491,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,9,1375364205,7.220330715179443,0.08830562054143568,0.9985578837858772,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,10,284801603,7.531521797180176,0.11744932225450297,0.945633130736594,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,11,176492263,7.407837390899658,0.08672626290682783,0.9929727793622499,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,12,1466704085,7.6408984661102295,0.09507655872975494,0.931431120785154,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,13,1663365764,8.204741477966309,0.10374524274511884,0.9099533241949183,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,14,258864802,6.390853404998779,0.08856244484250893,0.9999976984134752,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,15,1708487345,7.517216682434082,0.1164572675272533,0.9895110826577328,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,16,33973174,7.890909433364868,0.1231963853397949,0.7519291804449773,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,17,434685913,6.9703216552734375,0.0819979455460505,0.997557749582907,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,18,2068213801,7.2502601146698,0.1742817305576939,0.9366544918509033,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,19,1398208754,7.564095497131348,0.08601223231419579,0.9950290329367698,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,20,1322911642,7.734653949737549,0.10621053943419889,0.8079449335641679,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,21,511233635,7.673474550247192,0.06939713057444152,0.9960918353397945,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,22,1493653684,7.781530857086182,0.10029267287527324,0.9990218014168946,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,23,1455834841,8.001612901687622,0.09854767457520897,0.9934712357003739,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,24,1976835803,7.609648704528809,0.08734567546597592,0.965757766975378,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,25,1531969408,7.2984583377838135,0.07343642557894763,0.9981256849755431,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,26,1650233440,7.406517744064331,0.09766599717875613,0.9390424544696233,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,27,1978367492,7.517219305038452,0.07435723673776953,0.9985971605540901,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,28,1099812489,7.6565260887146,0.12358513768611094,0.8590152415428688,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,29,1950053854,7.767227649688721,0.14610818306455528,0.9234657026922781,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,30,64630733,7.4377686977386475,0.17803784805408368,0.7410213306544353,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,31,591449774,7.626598834991455,0.07400465968582927,0.975525661254807,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,32,1509200690,7.031503915786743,0.07826132506672029,0.9949898872548084,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,33,1170374427,7.407837390899658,0.11722933170137693,0.861648959911679,20.0,0.0
"(p=1.00, q=0.80, c=0.75, m=False)",1.0,0.8,0.75,False,34,9155489,7.562772989273071,0.1099862536112846,0.9891707809348506,20.0,0.0
