Scenarios,sensitivity,specificity,rapid test coverage,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
Status quo (no rapid test),0.0,1.0,0.0,46,1818929957,4.766422510147095,0.054496681702160425,0.6585854781633323,0.08763881441387981,0.9597137234564869,0.3975302541329229,0.0,0.0,0.3975302541329229,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,47,475318147,4.4064648151397705,0.07854904607420327,0.8067658010677011,0.31672165897890797,0.9498529875311869,0.4954893452777695,0.0,0.0,0.4954893452777695,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,48,1035259748,4.458906650543213,0.08327744603512414,0.7662118230885804,0.1968712346482775,0.9397577087266683,0.4628597588832021,0.0,0.0,0.4628597588832021,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,49,2088888902,4.422087669372559,0.06458598403824652,0.7420379622414848,0.23755189838201415,0.9301633532267924,0.36245025862468044,0.0,0.0,0.36245025862468044,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,50,287070358,4.326902627944946,0.07034467185973675,0.7970880086060786,0.32540311863068666,0.944116987842629,0.36337992268867936,0.0,0.0,0.36337992268867936,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,51,1742754336,4.3595850467681885,0.06799085400282219,0.616624600792112,0.15862771844452633,0.955203346598351,0.39609568379745885,0.0,0.0,0.39609568379745885,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,52,994158204,4.248773813247681,0.07291227405528139,0.8260257683066977,0.1457367913922876,0.9410222071254309,0.42872357662688443,0.0,0.0,0.42872357662688443,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,53,1490049239,4.406464338302612,0.06084342841871872,0.7908779360143439,0.1467240466072002,0.9396750101590866,0.4949910261854943,0.0,0.0,0.4949910261854943,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,54,999229484,4.245774507522583,0.053531506030846394,0.7497600187500854,0.17153284371594374,0.9191474372830138,0.3289155149277954,0.0,0.0,0.3289155149277954,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,55,28344971,4.312704563140869,0.0692328756689989,0.7736753128715093,0.13734216943092584,0.9567754755909536,0.46300608979940905,0.0,0.0,0.46300608979940905,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,56,1266539837,4.516040802001953,0.0710391481111484,0.6297836763019219,0.10808358862248668,0.9349945620783617,0.3945709026335027,0.0,0.0,0.3945709026335027,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,57,96478470,4.359584331512451,0.06862310339900768,0.7017284318640645,0.16529666630252132,0.9564355881815885,0.4626821574331926,0.0,0.0,0.4626821574331926,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,58,953383961,4.639047622680664,0.06162801965870788,0.7134542132810078,0.16282983580006566,0.9659110821889259,0.49639706340083417,0.0,0.0,0.49639706340083417,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,59,183372402,4.422091960906982,0.061560708913796565,0.6930312491870193,0.18334342807462578,0.952091005067564,0.4305400646770577,0.0,0.0,0.4305400646770577,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,60,2047789755,4.55554986000061,0.07993200023247003,0.7585950428708197,0.1421920752597475,0.9620191309725148,0.4955245154406812,0.0,0.0,0.4955245154406812,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,61,1057710077,4.375210762023926,0.08700374273435148,0.742568309039523,0.16035910075326643,0.9607381279985048,0.26452040803507837,0.0,0.0,0.26452040803507837,7.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,62,1213818894,4.839442491531372,0.06294585677878035,0.698334398852711,0.13474621745265541,0.9550621498695634,0.46219035150907034,0.0,0.0,0.46219035150907034,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,63,2087364271,4.265829086303711,0.08592594830802429,0.6399721269682915,0.25222789784625965,0.9428874996134663,0.26477020284181985,0.0,0.0,0.26477020284181985,7.0,22.0
Status quo (no rapid test),0.0,1.0,0.0,64,2090181924,3.8439958095550537,0.07301491578152267,0.8478308219367471,0.2424785210781093,0.9514517818554076,0.4301553298482674,0.0,0.0,0.4301553298482674,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,65,1745141102,4.467381715774536,0.059689150075177465,0.7276365893673137,0.17206718508782112,0.940608172738846,0.39635085013263943,0.0,0.0,0.39635085013263943,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,66,1977169912,4.06389594078064,0.07591355288924023,0.8067863073380418,0.1585574592434828,0.9505409846803088,0.2971415656745464,0.0,0.0,0.2971415656745464,8.0,21.0
Status quo (no rapid test),0.0,1.0,0.0,67,816827959,4.294357776641846,0.056951406275981734,0.7683636405355653,0.15522548560765462,0.9474411670445373,0.3303149591380309,0.0,0.0,0.3303149591380309,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,68,1937066756,3.8420660495758057,0.08145850559056475,0.8392076219226173,0.1592428920360041,0.954272220343337,0.395861197004276,0.0,0.0,0.395861197004276,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,69,1231138120,4.328678846359253,0.07254148405872672,0.5307427247442629,0.17159555750012906,0.9514481021028113,0.3640038490230755,0.0,0.0,0.3640038490230755,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,70,135194935,4.116359710693359,0.04863022881969718,0.7752083708505211,0.1618100500415907,0.946042859388479,0.4292105505615958,0.0,0.0,0.4292105505615958,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,71,213231019,4.944050312042236,0.07733993678752087,0.7749839338742621,0.14472353471811236,0.9376860040582223,0.39567401966611543,0.0,0.0,0.39567401966611543,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,72,1803038838,3.9721381664276123,0.07300389082803793,0.8175283852133616,0.12294033239028082,0.9477456917559235,0.4627718146960978,0.0,0.0,0.4627718146960978,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,73,374020484,4.69763445854187,0.061885384032143415,0.6494666128527771,0.15514966496989674,0.9673861733397262,0.6280174768551635,0.0,0.0,0.6280174768551635,18.0,11.0
Status quo (no rapid test),0.0,1.0,0.0,74,1243074298,3.921264886856079,0.060515551430214934,0.6808137021948265,0.19560583031079026,0.9573277873382288,0.4627565679802474,0.0,0.0,0.4627565679802474,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,75,1805121991,4.577620506286621,0.0755233118258962,0.8119863031424003,0.15346852342537198,0.9413176920727524,0.4285448604297513,0.0,0.0,0.4285448604297513,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,76,1067209504,3.8646485805511475,0.07911661330215061,0.7983664758577527,0.15752291632195312,0.9560260621661454,0.3965826343645384,0.0,0.0,0.3965826343645384,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,77,1856696675,4.321720361709595,0.07492798230119586,0.7312913203453593,0.11024714358949696,0.9483264429259284,0.330126299857905,0.0,0.0,0.330126299857905,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,78,826341888,4.014719724655151,0.051812678383575256,0.7938849242383234,0.20231007293296613,0.9415240034259799,0.3290350808952035,0.0,0.0,0.3290350808952035,9.0,20.0
Status quo (no rapid test),0.0,1.0,0.0,79,167529421,4.546675682067871,0.04831017787519905,0.688310856808102,0.1404105131007164,0.9474680095040345,0.49494271916489024,0.0,0.0,0.49494271916489024,14.0,15.0
Status quo (no rapid test),0.0,1.0,0.0,80,806989554,4.614722728729248,0.0593560883502349,0.6132248949095355,0.16280694963162073,0.9535449373667345,0.46389429047955855,0.0,0.0,0.46389429047955855,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,81,24805106,4.587315797805786,0.05028904741409726,0.8590429522900285,0.15999544404096536,0.9534711828472975,0.42988909346696347,0.0,0.0,0.42988909346696347,12.0,17.0
Status quo (no rapid test),0.0,1.0,0.0,82,1574482610,4.430146932601929,0.05418730995500864,0.8084532332864567,0.18654207683932478,0.9395977762360278,0.362456381088294,0.0,0.0,0.362456381088294,10.0,19.0
Status quo (no rapid test),0.0,1.0,0.0,83,613936327,4.746273040771484,0.08368789874482592,0.7842924774449463,0.17116293265484445,0.9567057301398718,0.46379988279483425,0.0,0.0,0.46379988279483425,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,84,1943874087,4.154592514038086,0.04769384207727312,0.7667729783841258,0.12590435581110976,0.9364695264029709,0.39557339019056076,0.0,0.0,0.39557339019056076,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,85,2099617758,4.500549554824829,0.08402267281064882,0.7529550571599197,0.170813040748712,0.962293399138337,0.4634455810110393,0.0,0.0,0.4634455810110393,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,86,970557677,4.136597156524658,0.06954409743281628,0.8164176011571865,0.15601525525809296,0.9221314983765327,0.46205416397851234,0.0,0.0,0.46205416397851234,13.0,16.0
Status quo (no rapid test),0.0,1.0,0.0,87,729259244,4.393538475036621,0.0777151534637022,0.6288311115934717,0.19513543443312453,0.9592516856981962,0.3965641454723268,0.0,0.0,0.3965641454723268,11.0,18.0
Status quo (no rapid test),0.0,1.0,0.0,88,2079841931,4.4798743724823,0.0762286459486286,0.813152268009474,0.24670691461698818,0.9436114312424417,0.5277246891795456,0.0,0.0,0.5277246891795456,15.0,14.0
Status quo (no rapid test),0.0,1.0,0.0,89,1892879705,4.581537485122681,0.06787522328242229,0.6544683437009408,0.14608307665703876,0.952277878225609,0.4952538359840053,0.0,0.0,0.4952538359840053,14.0,15.0
