Scenarios,CIP-sens,CIP-spec,TET-sens,TET-spec,rapid test coverage,transmission factor,ID,Seed,Run time,Rate of gonorrhea cases (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP-S (average incidence after epidemic warm-up),Time-averaged proportion of cases TET-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CRO-S (average incidence after epidemic warm-up),Time-averaged proportion of cases CIP/TET-NS (average incidence after epidemic warm-up),"Time-averaged proportion of cases treated successfully with CIP, TET, or CRO (average incidence after epidemic warm-up)",Time-averaged proportion of cases treated successfully with CIP (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with TET (average incidence after epidemic warm-up),Time-averaged proportion of cases treated successfully with CRO (average incidence after epidemic warm-up),Duration of 1st line therapy with CRO (after epidemic warm-up),Duration of 1st line therapy with Drug M (after epidemic warm-up)
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,32,82744573,7.095008850097656,0.1031709480523288,0.6012238490154824,0.13773873357624378,0.9203347465518879,0.865179027647483,0.9400692083744613,0.5137997923991203,0.06222589647366182,0.3640435195016793,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,33,1195804508,7.178008794784546,0.11541512867178576,0.6297766778522464,0.15235674593212215,0.8693483071165534,0.8526361860307742,0.8961045788153099,0.5514593590825209,0.06711972722927245,0.27752549250351655,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,34,1359219260,7.123006582260132,0.09372802643568726,0.6756723532394762,0.13060244215056666,0.8390964594667573,0.8776796606696763,0.8629517712176491,0.6012882886064885,0.061104222831796194,0.20055925977936442,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,35,631998362,6.853008270263672,0.20821180693695063,0.5608263801640471,0.12126302906989431,0.6764879188230757,0.8797879116193035,0.7067280835702268,0.5032886108085158,0.05262451323635873,0.15081495952535218,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,36,1934272762,6.840007305145264,0.16621275750497383,0.38643712918580597,0.11540004828819962,0.7044215225162577,0.885216889121412,0.7399093892661868,0.31637774124772106,0.05304823232366074,0.370483415694805,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,37,1139304855,6.813008546829224,0.18136137065050764,0.3863157858468726,0.07973744864090135,0.686917829886148,0.9222725449842645,0.7155016255759657,0.3235578589631791,0.03664033453303467,0.355303432079752,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,38,1377426521,6.986008644104004,0.12924882180734207,0.6752969930203292,0.15556589775875396,0.7940673065590103,0.8591212851642102,0.8201517720852677,0.5967648929895764,0.07310893534488708,0.15027794375080425,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,39,133355962,6.783006906509399,0.1297635539228135,0.6644094950772219,0.09962476796069616,0.8440258105584914,0.9025414979826119,0.8722598241469126,0.5894640935334846,0.045644520651428905,0.23715120996199932,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,40,659406767,6.887006521224976,0.09461259778598528,0.6796071639021488,0.1343974308955268,0.9186922830785075,0.8705966417157041,0.9375599374407689,0.5892727530648879,0.06031453991149493,0.2879726444643859,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,41,201255546,6.780008554458618,0.09133280306946805,0.7105187359570099,0.11123328264614628,0.9367011476277739,0.8896781498264721,0.9528316425765737,0.6322281150306931,0.04741962607399764,0.27318390147188276,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,42,498351581,6.830006837844849,0.07983982155968655,0.7011029750686045,0.12415299878707495,0.9081058341011098,0.8789387400507824,0.9257554359146273,0.6190491936892306,0.0551734758933516,0.2515327663320452,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,43,1029523876,6.923009395599365,0.1004582842550871,0.5560889919698913,0.11534819673533668,0.8460301183815163,0.8859877395964293,0.8742886858008366,0.4903975769988268,0.050464592384357035,0.3334265164176528,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,44,720082184,6.642005205154419,0.09992599351186932,0.6672490909059323,0.23643313604929034,0.9358639973916424,0.7683198150683915,0.950738603237247,0.5455470423654274,0.10233329884317964,0.30285826202863975,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,45,925242917,6.6890082359313965,0.11677657075921882,0.5558273708759269,0.12274736292586136,0.803980697560736,0.8781394396142898,0.8363929315393386,0.48972650523702427,0.05576415727317561,0.2909022690291385,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,46,952469479,6.630006313323975,0.20279158611359463,0.5363148499740062,0.1525461768931314,0.6872094818473797,0.8493390252537937,0.7142823844311773,0.4542578945693886,0.0676755742153933,0.19234891564639536,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,47,1750347194,6.656008243560791,0.1289156976857119,0.5400378609253434,0.1342755346010036,0.8720902137101808,0.8662066623437751,0.8966079131821588,0.4609183301172759,0.060212486189875625,0.37547709687500763,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,48,246647841,6.853005409240723,0.09610135857208904,0.5486764246771912,0.10574727903215397,0.8057329685414732,0.8981318050349997,0.8318587981376936,0.4718479899695624,0.04895700357564347,0.31105380459248766,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,49,491653253,6.702008485794067,0.11597391870034512,0.45423382151213226,0.09349376871868106,0.8174411598712281,0.9089201490090073,0.8430137508560844,0.39067743886110284,0.041273469776648655,0.41106284221833284,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,50,1121720901,6.573007106781006,0.0930083135989166,0.5693998899315003,0.12371263774325156,0.8656378199019404,0.8773412358638376,0.887094009131864,0.49654078522048045,0.05243565191893269,0.33811757199245085,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,51,789227114,6.896007299423218,0.14418150189009016,0.4611008479765848,0.09733241833447308,0.801351531063806,0.907292349377599,0.8302978969703099,0.39715868454606995,0.04348137770219593,0.38965783472204385,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,52,989475898,7.137005567550659,0.06619798600683201,0.6708493575211422,0.15240766737957856,0.9408108444863195,0.852039385085716,0.9534289401332603,0.5775474439089854,0.06772623745232878,0.3081552587719462,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,53,753262276,7.136008262634277,0.1010201339597315,0.4854627454813782,0.11925222042022578,0.8712205215852227,0.8871861543156236,0.8992139939094866,0.4160016094176887,0.054532291893165545,0.4286800925986322,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,54,1899116481,7.20300817489624,0.1817246304639756,0.5157846964953907,0.07927941023779965,0.713378902612213,0.9253027487386052,0.7539660767883894,0.47689002009876985,0.03675470165563859,0.24032135503398078,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,55,889914664,6.758009433746338,0.1254913907181857,0.44783699315741715,0.1820703781266701,0.788408414740156,0.8242983529498963,0.8176043685861959,0.35128002096421623,0.08496871863590305,0.3813556289860764,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,56,1494169291,6.697006464004517,0.1071656379794313,0.7149849020452638,0.10188590466791135,0.8579346606224781,0.8987591318628604,0.8791790298360493,0.6497882975151792,0.04418107427454335,0.18520965804632675,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,57,333409380,6.943008899688721,0.11013000362518063,0.6539763666594864,0.11857105541542304,0.8574681212121839,0.881647861786186,0.8870084680148806,0.5823414520870459,0.05210052538622365,0.252566490541611,24.0,0.0
"p=(None, None), q=(None, None), c=1.000, f=1.02)",,,,,1.0,1.02,58,1611304888,6.825005531311035,0.0925912382358342,0.4943571739851648,0.08957156688521907,0.8612673168289713,0.9143093268468477,0.8824189687413037,0.4345633607044418,0.03902226639970514,0.4088333416371567,24.0,0.0
